latitude,longitude,name
30.6065653,-104.0976738,fiftymilemex
30.5874663,-104.0969910,fiftymilemex
30.6189646,-104.0964977,fiftymilemex
30.5261696,-104.0964663,fiftymilemex
30.5111704,-104.0964580,fiftymilemex
30.6607624,-104.0953407,fiftymilemex
30.5209699,-104.0959981,fiftymilemex
30.5132703,-104.0959452,fiftymilemex
30.4834719,-104.0959271,fiftymilemex
30.6649622,-104.0945148,fiftymilemex
30.4909715,-104.0951813,fiftymilemex
30.5047708,-104.0947971,fiftymilemex
30.4956713,-104.0947526,fiftymilemex
30.6554627,-104.0936733,fiftymilemex
30.5841665,-104.0940112,fiftymilemex
30.5955659,-104.0938413,fiftymilemex
30.6577626,-104.0932591,fiftymilemex
30.5858664,-104.0933008,fiftymilemex
30.6169648,-104.0930100,fiftymilemex
30.5075706,-104.0934800,fiftymilemex
30.6902608,-104.0922590,fiftymilemex
30.6620623,-104.0923327,fiftymilemex
30.6530628,-104.0922881,fiftymilemex
30.5975658,-104.0920290,fiftymilemex
30.4818720,-104.0926368,fiftymilemex
30.5951659,-104.0917438,fiftymilemex
30.6211645,-104.0914842,fiftymilemex
30.5001710,-104.0919252,fiftymilemex
30.6193646,-104.0908952,fiftymilemex
30.4669728,-104.0913277,fiftymilemex
30.4394743,-104.0902952,fiftymilemex
30.4463739,-104.0898532,fiftymilemex
30.4420742,-104.0896794,fiftymilemex
30.4505737,-104.0885276,fiftymilemex
30.4408742,-104.0879867,fiftymilemex
30.4844719,-104.0874210,fiftymilemex
30.4565734,-104.0873911,fiftymilemex
30.4876717,-104.0870015,fiftymilemex
30.4325747,-104.0871372,fiftymilemex
30.4430741,-104.0863733,fiftymilemex
30.4369744,-104.0852104,fiftymilemex
30.4488738,-104.0850380,fiftymilemex
30.4544735,-104.0849039,fiftymilemex
30.4620731,-104.0846576,fiftymilemex
30.4241751,-104.0842883,fiftymilemex
30.4610731,-104.0838637,fiftymilemex
30.4285749,-104.0839615,fiftymilemex
30.4211753,-104.0812065,fiftymilemex
30.4616731,-104.0805600,fiftymilemex
30.4663729,-104.0798314,fiftymilemex
30.4223752,-104.0768992,fiftymilemex
30.4209753,-104.0743078,fiftymilemex
30.4151756,-104.0740430,fiftymilemex
30.4192754,-104.0729181,fiftymilemex
30.4117758,-104.0721637,fiftymilemex
30.4116758,-104.0691643,fiftymilemex
30.4155756,-104.0690406,fiftymilemex
30.4119758,-104.0659625,fiftymilemex
30.4009764,-104.0652293,fiftymilemex
30.4163755,-104.0623357,fiftymilemex
30.3997764,-104.0623366,fiftymilemex
30.4134757,-104.0620534,fiftymilemex
30.3994764,-104.0596384,fiftymilemex
30.4023763,-104.0583208,fiftymilemex
30.3939767,-104.0534718,fiftymilemex
30.3894770,-104.0532992,fiftymilemex
30.3838773,-104.0477332,fiftymilemex
30.3844772,-104.0445295,fiftymilemex
30.3815774,-104.0410471,fiftymilemex
30.3662782,-104.0379399,fiftymilemex
30.3749778,-104.0375872,fiftymilemex
30.3628784,-104.0366606,fiftymilemex
30.3533789,-104.0324181,fiftymilemex
30.3519790,-104.0293266,fiftymilemex
30.3408796,-104.0289939,fiftymilemex
30.3600786,-104.0287775,fiftymilemex
30.3581787,-104.0284891,fiftymilemex
30.3524790,-104.0281236,fiftymilemex
30.3541789,-104.0264133,fiftymilemex
30.3566787,-104.0223981,fiftymilemex
30.3452793,-104.0200672,fiftymilemex
30.3297802,-104.0176611,fiftymilemex
30.3501791,-104.0171375,fiftymilemex
30.3379797,-104.0167114,fiftymilemex
30.3267803,-104.0132792,fiftymilemex
30.3275803,-104.0103744,fiftymilemex
30.3262804,-104.0081823,fiftymilemex
30.3203807,-104.0065180,fiftymilemex
30.3156809,-104.0028464,fiftymilemex
30.3186808,-104.0011283,fiftymilemex
30.3204807,-104.0001174,fiftymilemex
30.3190807,-103.9995258,fiftymilemex
30.3167809,-103.9992398,fiftymilemex
30.3097812,-103.9985821,fiftymilemex
30.3198807,-103.9984210,fiftymilemex
30.3064814,-103.9971021,fiftymilemex
30.3120811,-103.9936682,fiftymilemex
30.3028816,-103.9901238,fiftymilemex
30.3053815,-103.9893087,fiftymilemex
30.2931821,-103.9866824,fiftymilemex
30.2982819,-103.9858516,fiftymilemex
30.2899823,-103.9826018,fiftymilemex
30.2921822,-103.9823885,fiftymilemex
30.2886824,-103.9783096,fiftymilemex
30.2626838,-103.9777666,fiftymilemex
30.2679835,-103.9768346,fiftymilemex
30.2762830,-103.9763845,fiftymilemex
30.2672835,-103.9751388,fiftymilemex
30.2758831,-103.9746869,fiftymilemex
30.2702834,-103.9743207,fiftymilemex
30.2824827,-103.9741471,fiftymilemex
30.2799828,-103.9735622,fiftymilemex
30.2689834,-103.9735286,fiftymilemex
30.2707833,-103.9725177,fiftymilemex
30.2468846,-103.9685619,fiftymilemex
30.2577840,-103.9680961,fiftymilemex
30.2456847,-103.9680691,fiftymilemex
30.2484845,-103.9672522,fiftymilemex
30.2431848,-103.9649842,fiftymilemex
30.2455847,-103.9638697,fiftymilemex
30.2418849,-103.9635920,fiftymilemex
30.2526843,-103.9629269,fiftymilemex
30.2344853,-103.9604366,fiftymilemex
30.2274856,-103.9601788,fiftymilemex
30.2516844,-103.9585329,fiftymilemex
30.2494845,-103.9582462,fiftymilemex
30.2415849,-103.9575938,fiftymilemex
30.2314854,-103.9572547,fiftymilemex
30.2384851,-103.9570125,fiftymilemex
30.2249858,-103.9556938,fiftymilemex
30.2192861,-103.9542281,fiftymilemex
30.2104866,-103.9537811,fiftymilemex
30.2272857,-103.9532800,fiftymilemex
30.1919875,-103.9523924,fiftymilemex
30.2065868,-103.9520046,fiftymilemex
30.2147863,-103.9516552,fiftymilemex
30.1953874,-103.9493719,fiftymilemex
30.1949874,-103.9465743,fiftymilemex
30.1785883,-103.9448729,fiftymilemex
30.1838880,-103.9436411,fiftymilemex
30.1796882,-103.9416663,fiftymilemex
30.1770883,-103.9415819,fiftymilemex
30.1982872,-103.9400545,fiftymilemex
30.2008871,-103.9387389,fiftymilemex
30.1807881,-103.9376597,fiftymilemex
30.1777883,-103.9362777,fiftymilemex
30.1762884,-103.9331867,fiftymilemex
30.1699887,-103.9331245,fiftymilemex
30.1596893,-103.9268864,fiftymilemex
30.1576894,-103.9257984,fiftymilemex
30.1631891,-103.9251654,fiftymilemex
30.1513897,-103.9241362,fiftymilemex
30.1569894,-103.9214026,fiftymilemex
30.1545895,-103.9182170,fiftymilemex
30.1431901,-103.9168854,fiftymilemex
30.1480899,-103.9144560,fiftymilemex
30.1437901,-103.9142818,fiftymilemex
30.1469899,-103.9053626,fiftymilemex
30.1497898,-103.9050458,fiftymilemex
30.1444901,-103.9036776,fiftymilemex
30.1441901,-103.8956794,fiftymilemex
30.1386904,-103.8938124,fiftymilemex
30.1380904,-103.8850160,fiftymilemex
30.1283909,-103.8815741,fiftymilemex
30.1240912,-103.8761999,fiftymilemex
30.1198914,-103.8758250,fiftymilemex
30.1287909,-103.8741717,fiftymilemex
30.1134917,-103.8682633,fiftymilemex
30.1085920,-103.8681927,fiftymilemex
30.0989925,-103.8650501,fiftymilemex
30.1182915,-103.8644346,fiftymilemex
30.1151916,-103.8643532,fiftymilemex
30.0977926,-103.8624573,fiftymilemex
30.0942927,-103.8617783,fiftymilemex
30.1036922,-103.8604220,fiftymilemex
30.0920929,-103.8592914,fiftymilemex
30.0981925,-103.8572549,fiftymilemex
30.0946927,-103.8568759,fiftymilemex
30.0975926,-103.8552585,fiftymilemex
30.0999924,-103.8544442,fiftymilemex
30.0982925,-103.8537543,fiftymilemex
30.0942927,-103.8532783,fiftymilemex
30.0928928,-103.8529866,fiftymilemex
30.1002924,-103.8498424,fiftymilemex
30.0921929,-103.8426908,fiftymilemex
30.0863932,-103.8270255,fiftymilemex
30.0821934,-103.8258506,fiftymilemex
30.0822934,-103.8220500,fiftymilemex
30.0800935,-103.8204632,fiftymilemex
30.0800935,-103.8183632,fiftymilemex
30.0824934,-103.8079488,fiftymilemex
30.0800935,-103.8057632,fiftymilemex
30.0638944,-103.8019600,fiftymilemex
30.0560948,-103.7947066,fiftymilemex
30.0649943,-103.7944534,fiftymilemex
30.0525950,-103.7933275,fiftymilemex
30.0634944,-103.7925624,fiftymilemex
30.0600946,-103.7923827,fiftymilemex
30.0521950,-103.7888298,fiftymilemex
30.0542949,-103.7814173,fiftymilemex
30.0523950,-103.7781286,fiftymilemex
30.0492951,-103.7771471,fiftymilemex
30.0455953,-103.7698692,fiftymilemex
30.0470953,-103.7677603,fiftymilemex
30.0513950,-103.7669346,fiftymilemex
30.0509951,-103.7640370,fiftymilemex
30.0418955,-103.7636913,fiftymilemex
30.0390957,-103.7620080,fiftymilemex
30.0470953,-103.7612603,fiftymilemex
30.0389957,-103.7528086,fiftymilemex
30.0374958,-103.7493176,fiftymilemex
30.0314961,-103.7480533,fiftymilemex
30.0344959,-103.7470355,fiftymilemex
30.0302962,-103.7454605,fiftymilemex
30.0338960,-103.7352390,fiftymilemex
30.0320961,-103.7310498,fiftymilemex
30.0390957,-103.7301080,fiftymilemex
30.0356959,-103.7293283,fiftymilemex
30.0420955,-103.7273901,fiftymilemex
30.0427955,-103.7243859,fiftymilemex
30.0341959,-103.7210372,fiftymilemex
30.0408956,-103.7208973,fiftymilemex
30.0336960,-103.7199402,fiftymilemex
30.0346959,-103.7102343,fiftymilemex
30.0325960,-103.7029468,fiftymilemex
30.0301962,-103.7010611,fiftymilemex
30.0266963,-103.6820820,fiftymilemex
30.0230965,-103.6735034,fiftymilemex
30.0170969,-103.6705392,fiftymilemex
